domain,source,data,access_method,refresh,key_required,free_level,device_required,multipoint_required,code_area,notes,official_url
transport,Amtrak,US train positions,public endpoint polling,about 60 seconds,no,A/terms,no,no,backend/services/fetchers/trains.py,"Unofficial endpoint stability risk",https://www.amtrak.com/
transport,DigiTraffic,European train positions,official REST API,about 60 seconds,no,A,no,no,backend/services/fetchers/trains.py,"Open-data attribution applies",https://www.digitraffic.fi/
transport,Public road agencies,CCTV camera catalogs and streams,API XML KML HTML plus backend proxy,about 10 minutes,usually no,A/by-agency,no,no,backend/services/cctv_pipeline.py,"Agency-specific terms and Referer Origin requirements",https://github.com/BigBodyCobain/Shadowbroker
radio,KiwiSDR,public SDR receivers,directory polling plus remote audio,about 30 minutes and live audio,no,A/community,no,no,backend/services/kiwisdr_fetcher.py,"Receiver capacity and uptime are not guaranteed",https://kiwisdr.com/
radio,OpenMHz,police and fire scanner feeds,API and audio streams,real-time,no,A/terms,no,no,backend/services/radio_intercept.py,"Regional legal and privacy restrictions apply",https://openmhz.com/
radio,Meshtastic public MQTT,public mesh node positions,MQTT subscription,real-time,no,A,optional,no,backend/services/fetchers/sigint.py,"Own nodes are optional; public radio is not private",https://meshtastic.org/
radio,APRS-IS,amateur radio positions,TCP long connection,real-time,usually no,A,no,no,backend/services/sigint_bridge.py,"Uses an already-distributed aggregation network",https://www.aprs-is.net/
context,RestCountries,country profiles,REST API with cache,on demand,no,A,no,no,backend/services/region_dossier.py,"Community service with no production SLA",https://restcountries.com/
context,Wikidata SPARQL,heads of state and entity graph,SPARQL with cache,on demand,no,A,no,no,backend/services/osint_intel/resolve.py,"CC0; public endpoint requires considerate use",https://query.wikidata.org/
context,Wikipedia API,location summaries and images,MediaWiki API with cache,on demand,no,A,no,no,backend/services/region_dossier.py,"CC BY-SA and attribution requirements",https://www.mediawiki.org/wiki/API:Main_page
context,OSM Nominatim,geocoding,HTTP API,on demand,no,A,no,no,backend geocode route,"Public endpoint rate-limited; valid User-Agent required",https://operations.osmfoundation.org/policies/nominatim/
context,CARTO Basemaps,dark map tiles,browser CDN tile requests,continuous,no,A/C,no,no,frontend map styles,"Client IP and map viewport exposed; attribution required",https://carto.com/basemaps/
context,Esri World Imagery,satellite basemap,browser tile service,continuous,no,A/terms,no,no,frontend map styles,"Visualization access does not imply bulk redistribution rights",https://www.arcgis.com/
aviation,Airplanes.live,live aircraft and military-tagged aircraft,public REST JSON polling and fallback,about 60 seconds,no,A/C,no,no,backend/services/fetchers/flights.py,"Free pull tier 500 requests per day; 1 request per second; non-commercial and no SLA",https://airplanes.live/api-guide/
aviation,ADSB.fi,community ADS-B aircraft fallback,public REST JSON polling,about 60 seconds,no,A/verify,no,no,backend/services/fetchers/flights.py,"Fallback endpoint; confirm current rate and reuse terms before sustained use",https://github.com/adsbfi/opendata
aviation,OpenSky S3 metadata,aircraft registration and type metadata,monthly bulk CSV snapshot,check about every 5 days,no,A/terms,no,no,aircraft metadata service,"Snapshot publication is monthly; usage remains subject to source terms",https://opensky-network.org/data/data-sources
aviation,adsb.lol standing data,flight routes and airport reference data,bulk JSON or CSV download,about every 5 days,no,A,no,no,route data service,"Reference enrichment rather than live position data; attribution required",https://vrs-standing-data.adsb.lol/
aviation,OurAirports,airport runway and frequency reference tables,bulk CSV download,low frequency,no,A,no,no,route and airport service,"Open reference data; retain provenance and update date",https://ourairports.com/data/
maritime,AISHub,aggregated vessel positions,REST JSON XML or CSV fallback,about 20 minutes,contributor account,E,yes,no,backend/services/fetchers/aishub_fallback.py,"API access is free only to qualifying AIS station contributors; do not call more than once per minute",https://www.aishub.net/api
maritime,USNI Fleet Tracker,public fleet and carrier reports,RSS polling and text extraction,hourly to daily,no,A/terms,no,no,backend/services/fetchers/usni_fleet_tracker.py,"Article clues are not direct telemetry and full-text redistribution is not implied",https://news.usni.org/category/fleet-tracker
environment,RainViewer,weather radar timeline and tiles,public JSON API plus browser tiles,about 5 minutes,no,A,no,no,frontend weather radar layer,"Free for personal educational and small community use; attribution required; no SLA",https://www.rainviewer.com/api.html
environment,NUFORC,UFO or UAP public sighting reports,HTML and AJAX table parsing,weekly,no,A/terms,no,no,backend NUFORC fetcher,"User reports require geocoding and confidence labeling; page structure may drift",https://nuforc.org/
environment,Hugging Face NUFORC mirror,backup UAP sighting dataset,bulk dataset download,weekly,no,A/verify,no,no,backend NUFORC fetcher,"Fallback copy; verify dataset card license freshness and provenance",https://huggingface.co/datasets
environment,WastewaterSCAN,wastewater pathogen measurements,public cloud JSON download,daily,no,A/terms,no,no,backend/services/fetchers/wastewater.py,"Public health dataset coverage and publication lag must be retained",https://data.wastewaterscan.org/
infrastructure,RIPE Atlas,network probes measurements and status,public REST API polling,about 5 minutes,no for public reads,A/B,no,no,backend data fetcher,"Most public reads are anonymous; creating measurements needs account key and credits",https://atlas.ripe.net/docs/apis/rest-api-manual/introduction/
context,Photon,OSM geocoding and reverse geocoding,public REST JSON,on demand,no,A/terms,no,no,backend geocoding service,"Public instance requires caching and considerate request rate",https://photon.komoot.io/
context,Mapbox Tilequery,optional coordinate enrichment for NUFORC,token REST API,on demand,yes,C,no,no,backend NUFORC fetcher,"Optional only; usage billed or limited under Mapbox account plan",https://docs.mapbox.com/api/search/tilequery/
radio,Meshtastic public map API,aggregated public mesh node directory,public HTTP JSON,daily plus jitter,no,A,no,no,backend Meshtastic map fetcher,"Directory access needs no radio; public node visibility is not a private feed",https://meshtastic.liamcottle.net/
radio,PSKReporter,digital radio reception and propagation reports,public HTTP query API,about 5 minutes,no,A/terms,no,no,backend/services/psk_reporter_fetcher.py,"Reading aggregated reports needs no receiver; contributing reports uses radio decode software",https://www.pskreporter.info/
radio,JS8Call local API,locally decoded JS8 digital messages,raw TCP JSON lines on port 2442,continuous,no,E,yes,no,backend/services/radio_intercept.py,"Requires local JS8Call with API enabled; radio hardware depends on receive or transmit goal",https://js8call.com/
finance,Finnhub,market quotes company and news data,API key REST polling,15 to 30 minutes,yes,C,no,no,backend/services/fetchers/financial.py,"Free personal tier currently 60 calls per minute; commercial use and broader data are paid",https://finnhub.io/pricing
finance,Yahoo Finance via yfinance,market prices and history,unofficial Python HTTP client,about 30 minutes,no,C/terms,no,no,backend/services/fetchers/financial.py,"Useful for research but not an official stable production API",https://github.com/ranaroussi/yfinance
prediction,Polymarket,event markets prices and trades,public REST polling,about 7 minutes plus jitter,no,A,no,no,backend/services/fetchers/prediction_markets.py,"Public data endpoints require no key; trading has separate wallet and authentication",https://docs.polymarket.com/quickstart
prediction,Kalshi,event contract market data,public REST polling,about 7 minutes plus jitter,no for REST,A/C,no,no,backend/services/fetchers/prediction_markets.py,"Public REST market data is unauthenticated; WebSocket and trading require authentication",https://docs.kalshi.com/getting_started/quick_start_market_data
news,EUvsDisinfo FIMI,disinformation and FIMI public reports,RSS and HTTP polling,about 12 hours,no,A/terms,no,no,backend/services/fetchers/fimi.py,"Disabled by default; source classification and evidence chain must be preserved",https://euvsdisinfo.eu/
news,CrowdThreat,crowdsourced threat reports,public REST polling,daily,no,A/verify,no,no,backend/services/fetchers/crowdthreat.py,"Disabled by default; community reports require independent validation",https://crowdthreat.com/
custom,Operator JSON GeoJSON feed,operator supplied trusted event feed,configurable HTTP polling,minimum about 60 seconds,depends,depends,no,no,backend/services/feed_ingester.py,"Allowlist destinations and cap response size to reduce SSRF and untrusted data risks",https://github.com/BigBodyCobain/Shadowbroker
